stock_id,company_name,ticker,sector,industry,market_cap,country,exchange,is_active,current_price,daily_return,52w_high,52w_low,ma20,ma50,trend,return_7d,return_30d,return_180d,volatility_7d,volatility_30d,volatility_180d,avg_volume_7d,avg_volume_30d,avg_volume_180d,debt_to_equity,debt_to_assets,cash_ratio,score
1,ABB India Ltd.,ABB.NS,Capital Goods,Capital Goods,Large Cap,India,NSE,True,6269.0,1.2190199402599466,6554.0,4637.5,6192.875,5875.55,Bullish,0.909456740442649,9.607483171605914,12.000520619743371,30.177930555248484,33.482131076237216,26.837633819875844,304023.71428571426,511386.26666666666,310974.27777777775,0.010824414017884148,0.006219168118441351,0.26756961235607474,3
2,Adani Energy Solutions Ltd.,ADANIENSOL.NS,Power,Power,Large Cap,India,NSE,True,1074.0,0.06521486443975544,1084.8499755859375,744.9000244140625,993.4949981689454,985.027998046875,Bullish,14.878593641402116,6.993426286184601,22.518826136416024,63.22359762368986,48.755872022732525,37.91836955755766,1857427.4285714286,1780028.7,1691899.7055555556,1.825036930968543,0.5445541582555999,0.04299175408115278,3
3,Adani Enterprises Ltd.,ADANIENT.NS,Metals & Mining,Metals & Mining,Large Cap,India,NSE,True,2042.0,8.495830534415806,2695.0,1753.0,1919.014990234375,2050.9099926757813,Bearish,12.013165112452008,-5.497965852627329,-21.71746214299406,70.4794509485271,45.15601425485214,35.28750844770503,2065914.0,1908401.6,1392633.85,1.8249239724076634,0.4634159525343106,0.02192339693568825,0
4,Adani Green Energy Ltd.,ADANIGREEN.NS,Power,Power,Large Cap,India,NSE,True,1029.5,11.255203670169657,1177.550048828125,765.0,868.3300018310547,905.0129992675782,Bearish,23.66366366366366,6.325845597727864,-0.8761771422923115,84.79534032721628,56.33284088888229,44.579074208238495,5213763.285714285,3396412.2333333334,3098534.183333333,6.5947103897173935,0.7185048205533313,0.02490289895862651,1
5,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,Services,Services,Large Cap,India,NSE,True,1425.5,3.2223026792179477,1584.0,1105.6707938016716,1375.2150024414063,1448.8100048828126,Bearish,6.555535055384221,-5.689712206417463,-2.1418241379616676,44.03882560774519,40.89606402802396,27.92251324508265,2464914.714285714,2638502.3666666667,2179544.894444444,0.8217265880776912,0.37910274588691845,0.04841349828003256,0
6,Adani Power Ltd.,ADANIPOWER.NS,Power,Power,Large Cap,India,NSE,True,170.22000122070312,4.199314755583372,182.6999969482422,101.0,152.4370002746582,146.43640045166015,Bullish,10.589918948586941,19.285217141555044,40.71257295446833,40.36186027150233,37.519447781789225,45.519269140597295,45356971.14285714,30830872.733333334,32570030.25,0.6984618016653567,0.3485400013478859,0.005789948991754943,3
7,Ambuja Cements Ltd.,AMBUJACEM.NS,Construction Materials,Construction Materials,Large Cap,India,NSE,True,438.8500061035156,4.376261948453486,624.9500122070312,394.0,427.57750244140624,482.0560009765625,Bearish,7.337654286937778,-14.287108182907104,-26.30562449982945,49.74404637266056,44.27633884521931,26.309637379791806,3255890.285714286,3038131.8333333335,2337302.816666667,0.014753967994087186,0.009741132943795083,0.29434591709228264,0
8,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,Healthcare,Healthcare,Large Cap,India,NSE,True,7443.0,1.5901180645601531,8088.761373794325,6647.654435974469,7467.0,7409.561298828125,Bullish,-1.4041594913233535,-2.265117195194011,1.4950130277309626,20.724322840990638,23.46026993261733,20.248994343141444,422514.0,437811.43333333335,384467.72777777776,0.6598882164558041,0.26233698335705363,0.04815694114706985,2
9,Asian Paints Ltd.,ASIANPAINT.NS,Consumer Durables,Consumer Durables,Large Cap,India,NSE,True,2271.60009765625,3.9063282587028514,2985.699951171875,2115.0,2213.4449951171873,2340.702001953125,Bearish,2.9084079982215405,-6.445368547658448,-5.615213111188721,40.30426366148728,33.31190061590903,24.31787741201444,1366898.4285714286,1200070.0,1214079.177777778,0.11805734179870833,0.07540950572858583,0.04317942034382176,0
10,Avenue Supermarts Ltd.,DMART.NS,Consumer Services,Consumer Services,Large Cap,India,NSE,True,4398.2001953125,-1.5181326620577695,4949.5,3600.0,3994.995007324219,3898.457998046875,Bullish,12.681908442635859,13.754404779660302,7.640729204906993,58.76791967073643,36.930999721506915,25.270613131885593,1448240.5714285714,694775.5666666667,499375.2,0.03825319970598873,0.03370354547581464,0.23889355437363274,3
