Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-21,762.8706580073784,768.688040551094,758.8773572399007,763.807373046875,749021,0.0,0.0,143
2025-04-22,765.1384442962514,768.7373798656058,758.2364222471872,764.0045166015625,610026,0.0,0.0,143
2025-04-23,767.6526909398367,776.0830052930373,752.320354981303,773.963134765625,1228461,0.0,0.0,143
2025-04-24,773.9631547109269,774.0124428303504,761.194402375835,766.1737060546875,1028891,0.0,0.0,143
2025-04-25,766.3215679314184,770.3641562872447,737.7274800248794,741.3263549804688,1352726,0.0,0.0,143
2025-04-28,737.72752688955,756.264373018634,737.1358889247003,753.3556518554688,691102,0.0,0.0,143
2025-04-29,754.7853159264974,763.0184171160603,744.2843596338873,751.6793823242188,634735,0.0,0.0,143
2025-04-30,749.3623495197105,752.3203587941305,737.5303124220309,740.9813232421875,944632,0.0,0.0,143
2025-05-02,740.9813376714335,751.3343703335095,735.656896801453,736.988037109375,580150,0.0,0.0,143
2025-05-05,739.5023240723147,756.2150886325196,739.4530359535471,754.736083984375,886401,0.0,0.0,143
2025-05-06,754.7360435969998,756.2150481660001,724.0713127578846,726.437744140625,1029627,0.0,0.0,143
2025-05-07,718.6483739338369,734.5723489258471,715.4932119891761,731.121337890625,989272,0.0,0.0,143
2025-05-08,734.572265095563,739.5022802975467,712.9787744385349,717.7609252929688,766498,0.0,0.0,143
2025-05-09,698.0409023393815,714.852243053645,696.3646850436369,712.4365234375,1024950,0.0,0.0,143
2025-05-12,730.1352561266001,754.2430426560792,727.0293224569626,752.7640380859375,1196460,0.0,0.0,143
2025-05-13,753.3063354492188,761.9338621968375,751.8766189805862,753.3063354492188,892363,0.0,0.0,143
2025-05-14,754.2923766707776,770.8079287089939,751.7287926655451,767.0118408203125,1224784,0.0,0.0,143
2025-05-15,768.0964040062739,778.3508601731788,765.4341836378609,774.70263671875,1287971,0.0,0.0,143
2025-05-16,774.7026807824817,803.5925608097787,773.026463404744,797.725830078125,3070129,0.0,0.0,143
2025-05-19,802.5079507461013,808.7690463867202,792.1549181498677,793.3380737304688,1654632,0.0,0.0,143
2025-05-20,794.7184537377207,796.9862487035318,773.0263867622494,774.7518920898438,1297532,0.0,0.0,143
2025-05-21,775.688637646049,784.4640289786561,770.0684080352296,779.1396484375,805323,0.0,0.0,143
2025-05-22,775.5900103129791,779.0410211448486,764.1523984854095,767.948486328125,817185,0.0,0.0,143
2025-05-23,767.8991477668185,776.3788099337584,764.645349803823,772.0896606445312,615580,0.0,0.0,143
2025-05-26,773.0264282449356,782.8864592174475,772.9278520075518,781.8018798828125,711436,0.0,0.0,143
2025-05-27,782.8864794608991,786.3374903905126,774.3575283767981,782.0484008789062,794318,0.0,0.0,143
2025-05-28,783.8724408041122,785.5979461769514,763.2156644473807,765.4834594726562,2587692,0.0,0.0,143
2025-05-29,788.8024322670892,788.8024322670892,762.180350178075,763.8565673828125,5124252,0.0,0.0,143
2025-05-30,766.1243998209635,770.6599899560567,743.8407540915622,745.4183349609375,2877095,0.0,0.0,143
2025-06-02,745.4183658044464,760.2084127450107,739.0586335838326,755.6234741210938,1621374,0.0,0.0,143
2025-06-03,756.2644019235054,766.8146474676054,753.3063925287589,760.701416015625,1639782,0.0,0.0,143
2025-06-04,762.5748227760795,769.4768444866124,752.4189426858983,766.3709106445312,1664766,0.0,0.0,143
2025-06-05,767.061143129921,773.02645,764.152421875,770.31494140625,1481683,0.0,0.0,143
2025-06-06,771.0544490098707,774.6040362117428,767.0118602421354,768.7373657226562,954628,0.0,0.0,143
2025-06-09,770.0683810632527,781.3581280074562,769.969804830719,776.871826171875,1570448,0.0,0.0,143
2025-06-10,780.9637839744244,786.3375131853419,776.1816927628184,777.85791015625,1007006,0.0,0.0,143
2025-06-11,780.5200076191703,784.7598689728884,767.3568906820597,772.0404052734375,911690,0.0,0.0,143
2025-06-12,772.0403982629076,777.4141269919678,758.2363553820893,760.504150390625,1442103,0.0,0.0,143
2025-06-13,744.4323093091975,763.8565816015149,743.1998054858379,759.86328125,1303106,0.0,0.0,143
2025-06-16,759.2223466191468,761.1450645980536,747.8833115722374,759.3209228515625,986884,0.0,0.0,143
2025-06-17,759.3209199105362,762.969143208538,755.2783315035491,757.9405517578125,884096,0.0,0.0,143
2025-06-18,755.7221104781557,760.8986269069122,746.9959466754532,749.0665893554688,542096,0.0,0.0,143
2025-06-19,749.3623599585177,751.2850780498452,732.8960960653637,736.3471069335938,1139746,0.0,0.0,143
2025-06-20,735.1145659685529,747.7847413398367,733.438348738086,746.0098876953125,861498,0.0,0.0,143
2025-06-23,736.0513204324463,749.1158616189566,736.0513204324463,747.242431640625,685543,0.0,0.0,143
2025-06-24,752.4189299068308,759.863301341439,750.4469237373139,751.3343505859375,578906,0.0,0.0,143
2025-06-25,759.2223601708046,761.785944067872,754.7853463775986,756.806640625,820300,0.0,0.0,143
2025-06-26,759.2223779101446,763.9058925790707,752.3203562927796,762.2296752929688,864747,0.0,0.0,143
2025-06-27,763.1663765893625,778.1536352975719,762.3775861691096,774.2589111328125,1772042,0.0,0.0,143
2025-06-30,777.5127725797829,778.8439129419668,766.1244482234434,770.5614624023438,1037262,0.0,0.0,143
2025-07-01,773.1249881268201,774.2589157370119,760.5041607851697,764.6453857421875,886549,0.0,0.0,143
2025-07-02,765.1383872803837,769.9204781285453,757.7433642074418,764.6453857421875,1093414,0.0,0.0,143
2025-07-03,766.0258736174288,772.188393323513,763.3143649467518,767.6034545898438,660457,0.0,0.0,143
2025-07-04,768.6880166316167,774.8998844997936,762.3283445832011,770.2163696289062,703398,0.0,0.0,143
2025-07-07,771.6953638413365,775.5407398903644,764.2017040412065,773.3715209960938,876286,0.0,0.0,143
2025-07-08,773.7165932093118,774.9490970024384,769.2795795540561,774.2095947265625,791455,0.0,0.0,143
2025-07-09,776.0336714854559,787.4219944275909,773.2235869267852,775.0476684570312,1442155,0.0,0.0,143
2025-07-10,776.9704938376052,779.7312906627857,771.9419017696285,773.2236938476562,626845,0.0,0.0,143
2025-07-11,770.1670538709781,772.7306982276717,759.2717308523887,762.8706665039062,512434,0.0,0.0,143
2025-07-14,762.8706231444427,766.715999189636,756.510891007912,759.5181884765625,540108,0.0,0.0,143
2025-07-15,759.5181302585863,766.0257864360892,758.5321272178298,763.1170654296875,405335,0.0,0.0,143
2025-07-16,763.117108372222,767.0118326385463,760.7013887502599,765.72998046875,481239,0.0,0.0,143
2025-07-17,767.110393788823,770.9558298608764,762.4761672914606,763.9058837890625,435163,0.0,0.0,143
2025-07-18,763.2650114517461,764.8426525942845,752.9119784159587,754.5881958007812,450648,0.0,0.0,143
2025-07-21,754.8839256662844,760.9971567311636,748.0312524803968,759.6660766601562,522909,0.0,0.0,143
2025-07-22,759.6660849020062,762.4761696072209,748.3763376016217,749.9539184570312,485187,0.0,0.0,143
2025-07-23,750.8906088882945,752.2710372273199,746.2070944120405,751.2850341796875,558332,0.0,0.0,143
2025-07-24,752.3203399621415,754.9825602786495,745.4183184945989,746.55224609375,384144,0.0,0.0,143
2025-07-25,746.4043428405047,746.4536309590791,731.7128726541297,735.8048095703125,878236,0.0,0.0,143
2025-07-28,736.0512723335094,739.5022829874507,717.9087922518772,719.8807983398438,523766,0.0,0.0,143
2025-07-29,717.8102861742594,728.1633191479267,716.8242830339102,725.5010986328125,456870,0.0,0.0,143
2025-07-30,725.6982668719108,733.8820803996492,723.7755488297619,725.84619140625,774642,0.0,0.0,143
2025-07-31,719.7822363439668,722.1979558856749,712.9787911335807,715.8875122070312,704978,0.0,0.0,143
2025-08-01,714.8522901719227,714.8522901719227,705.9782617422023,709.1334838867188,1040532,0.0,0.0,143
2025-08-04,706.9641912879697,721.9514497782222,702.7243901825243,719.6836547851562,551240,0.0,0.0,143
2025-08-05,719.6836520104318,721.5077335850096,711.6477030611285,716.084716796875,560776,0.0,0.0,143
2025-08-06,725.6983520801139,732.600374450441,714.162102653538,719.437255859375,1507424,0.0,0.0,143
2025-08-07,714.8522372617707,718.697673369037,706.0767857251128,716.97216796875,804696,0.0,0.0,143
2025-08-08,717.218701381654,720.6697123392876,706.9642447494867,708.886962890625,359497,0.0,0.0,143
2025-08-11,708.6404958805039,715.197380903984,706.2247760588605,713.1760864257812,447545,0.0,0.0,143
2025-08-12,713.8662613863329,717.8595620001822,709.9222488924858,710.4645385742188,275269,0.0,0.0,143
2025-08-13,710.9575647023131,719.5850923307186,709.9222734230759,717.1693725585938,592729,0.0,0.0,143
2025-08-14,723.2332682364638,727.4237813789382,711.6970200198342,714.655029296875,1074069,0.0,0.0,143
2025-08-18,719.7822552485245,721.5570487732407,710.3166496628028,711.795654296875,632805,0.0,0.0,143
2025-08-19,712.387229906419,717.0707445667034,711.0561498121527,716.232666015625,392467,0.0,0.0,143
2025-08-20,716.232712054068,723.0360976788608,716.232712054068,720.9655151367188,521749,0.0,0.0,143
2025-08-21,720.6697087593641,724.0220832787563,713.9155512387482,715.54248046875,405628,0.0,0.0,143
2025-08-22,716.5298507263383,717.8134114863955,711.0005778357798,715.8386840820312,673850,1.0,0.0,143
2025-08-25,717.5665607700821,718.3564396682708,711.889219559999,712.7284545898438,881565,0.0,0.0,143
2025-08-26,710.9018345351168,715.3449710009613,705.965016239734,708.1865844726562,1384604,0.0,0.0,143
2025-08-28,707.9397566933663,707.9397566933663,688.5874527219514,690.8090209960938,1668258,0.0,0.0,143
2025-08-29,691.1546260096115,693.1293535124962,681.08350369212,683.2063598632812,856066,0.0,0.0,143
2025-09-01,683.7493611012148,697.0294148966823,682.6632851385987,695.0546875,631745,0.0,0.0,143
2025-09-02,695.0546642346831,704.582687446408,692.2406416302651,703.0029296875,885201,0.0,0.0,143
2025-09-03,703.9902917409503,704.5333297028382,699.3990266022989,703.8421630859375,386447,0.0,0.0,143
2025-09-04,705.9650614703268,707.594235717741,700.7320457947251,702.1143188476562,509597,0.0,0.0,143
2025-09-05,702.3117883967462,705.8663338783216,697.0787728347606,705.0270385742188,460678,0.0,0.0,143
2025-09-08,704.9777017536802,709.4208385294387,702.8054894994184,704.0890502929688,382250,0.0,0.0,143
2025-09-09,704.0890326471224,706.6562144337839,701.225714066178,704.1878051757812,287154,0.0,0.0,143
2025-09-10,705.1751459449127,712.382888691087,705.0763734194662,709.4701538085938,978049,0.0,0.0,143
2025-09-11,709.5689320452595,715.7893111704112,708.5815683662229,710.6056518554688,800265,0.0,0.0,143
2025-09-12,710.5563312251306,715.2463089348756,709.6676797640403,713.0740966796875,653882,0.0,0.0,143
2025-09-15,713.8145858384554,721.0716847944151,713.419616260161,716.0855102539062,766401,0.0,0.0,143
2025-09-16,716.0854930716454,719.1957127003687,714.3576066698868,718.0108642578125,524148,0.0,0.0,143
2025-09-17,720.4299402328429,726.4034785022318,718.5539251170164,721.7135009765625,811304,0.0,0.0,143
2025-09-18,723.6388296905811,727.1439585299116,721.170420611631,726.1072387695312,689466,0.0,0.0,143
2025-09-19,726.1073259687485,729.6618113637422,723.9351136656296,727.2921142578125,1021813,0.0,0.0,143
2025-09-22,726.1073378820126,727.6377396670805,715.7400183352996,717.9121704101562,721501,0.0,0.0,143
2025-09-23,717.9615472410603,720.7755097145233,711.889236307084,713.468994140625,571765,0.0,0.0,143
2025-09-24,712.9259390296913,715.6905453039404,704.9776733922639,706.4093627929688,773061,0.0,0.0,143
2025-09-25,704.8789693081311,711.8892274703102,703.8916056084497,705.8663330078125,835870,0.0,0.0,143
2025-09-26,703.3979236835822,704.4346435153576,693.1293171024316,694.2153930664062,770172,0.0,0.0,143
2025-09-29,694.2648366947033,699.004170585787,689.1798893368725,690.9077758789062,807138,0.0,0.0,143
2025-09-30,692.4875078520607,695.8939246745755,688.2418559889384,691.549560546875,1029077,0.0,0.0,143
2025-10-01,692.2406936156467,698.4611333852372,689.6242158644715,697.2269287109375,585121,0.0,0.0,143
2025-10-03,697.2268975699749,701.5219055391453,695.2027537834097,698.559814453125,544147,0.0,0.0,143
2025-10-06,698.5598352063671,702.4105778381528,695.4496153680865,701.2750854492188,486868,0.0,0.0,143
2025-10-07,701.2750717071539,708.9271404234233,700.3370641343154,707.841064453125,674546,0.0,0.0,143
2025-10-08,706.9523692299146,707.8410206152305,692.5368841305047,694.2647705078125,857598,0.0,0.0,143
2025-10-09,696.5850976102474,702.509279871993,693.3268094190671,700.8307495117188,717552,0.0,0.0,143
2025-10-10,700.040840339044,708.4827876443733,699.695287160937,706.6561889648438,677949,0.0,0.0,143
2025-10-13,701.0282093216927,703.0029366718946,697.0787546212888,700.6332397460938,642278,0.0,0.0,143
2025-10-14,700.0408872690281,703.6447890029829,691.3520984643081,695.252197265625,646712,0.0,0.0,143
2025-10-15,695.25222073191,707.939821034002,695.25222073191,707.1005859375,710916,0.0,0.0,143
2025-10-16,707.0511292966942,713.1727963572855,706.9524170311597,709.8157958984375,523985,0.0,0.0,143
2025-10-17,709.2232687146303,713.0740108975822,704.9776172461782,710.2106323242188,1099068,0.0,0.0,143
2025-10-20,711.8892211914062,718.6526383690112,710.5068879184854,711.8892211914062,753202,0.0,0.0,143
2025-10-21,712.3335407807863,715.3449879595829,706.360002554538,708.9271240234375,190939,0.0,0.0,143
2025-10-23,713.0247094604149,714.1107854087097,706.9523986901295,709.9144897460938,738210,0.0,0.0,143
2025-10-24,711.8398891354188,717.6159428174082,704.7308582671941,705.767578125,968687,0.0,0.0,143
2025-10-27,706.9523905535343,715.6411788315806,705.9650268795768,714.9500122070312,1055350,0.0,0.0,143
2025-10-28,712.8765803534119,717.0235198819313,710.9018529840118,712.5803833007812,1272243,0.0,0.0,143
2025-10-29,712.5803803687971,726.4528280289734,711.0499787165885,721.4172973632812,1217127,0.0,0.0,143
2025-10-30,721.4172616183508,723.7375420473244,716.8259966253172,718.9488525390625,426315,0.0,0.0,143
2025-10-31,717.0235137042613,720.6767713589553,708.0384680925657,709.6182861328125,441679,0.0,0.0,143
2025-11-03,709.6183109482918,715.8386902730573,707.051129142077,714.3082885742188,354001,0.0,0.0,143
2025-11-04,714.308299900693,715.8387016237986,707.0511403534776,709.4208374023438,333642,0.0,0.0,143
2025-11-06,706.4587120388389,708.5815680533891,694.0673099251787,694.4622192382812,501782,0.0,0.0,143
2025-11-07,694.4622580674597,699.2016522008522,688.2912347311672,695.252197265625,455448,0.0,0.0,143
2025-11-10,695.2521604357543,698.9053578461973,692.1419407334618,695.4495849609375,363370,0.0,0.0,143
2025-11-11,695.1040722823876,702.8548535282719,692.6850190689657,701.7194213867188,333113,0.0,0.0,143
2025-11-12,703.4966768089249,709.4208593504737,702.1143434436697,706.8043212890625,584863,0.0,0.0,143
2025-11-13,710.9018535118471,711.6917324074142,696.7332087314405,700.9295043945312,1565202,0.0,0.0,143
2025-11-14,700.9295436429979,700.9295436429979,693.4255430551825,696.3876342773438,827789,0.0,0.0,143
