Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-21,127276.04022698148,127800.22082018928,126297.5697863269,126602.09375,6676,0.0,0.0,159
2025-04-22,127001.4679703106,128913.47906436048,126102.87267806784,127455.7578125,9283,0.0,0.0,159
2025-04-23,129178.06489295202,129178.06489295202,126452.32585169558,127780.25,6770,0.0,0.0,159
2025-04-24,127800.21551724138,130266.36030105063,127355.91008048222,129717.21875,11841,0.0,0.0,159
2025-04-25,130296.33148609652,130496.01935044304,127201.16958872564,128454.2109375,7468,0.0,0.0,159
2025-04-28,128299.4500203974,130171.52370746544,128294.45782389854,130021.7578125,4740,0.0,0.0,159
2025-04-29,130545.94156493543,132992.1179078348,130496.01959875382,132597.734375,7993,0.0,0.0,159
2025-04-30,132742.48956823166,135388.35340693654,131793.97234303557,134295.0625,11000,0.0,0.0,159
2025-05-02,134589.61683766067,135528.1497740657,133691.02147301752,134784.3125,6669,0.0,0.0,159
2025-05-05,135098.81110532067,137629.8545326504,135098.81110532067,135907.546875,7072,0.0,0.0,159
2025-05-06,136586.50335210015,137055.769847535,134290.09284252537,134779.328125,5771,0.0,0.0,159
2025-05-07,131294.76536907136,141279.15817280303,131294.76536907136,140200.84375,27052,0.0,0.0,159
2025-05-08,140530.33171032718,143051.39094704887,138134.07738631452,138543.4375,15480,0.0,0.0,159
2025-05-09,137200.51519713548,138079.14164529237,135388.3481478119,137460.109375,9582,0.0,0.0,159
2025-05-12,140180.88368768984,140874.79903073076,139352.17903341076,139706.625,5916,0.0,0.0,159
2025-05-13,139881.3353769806,140849.82142491543,138783.052229838,140205.828125,6054,0.0,0.0,159
2025-05-14,140205.83479445043,141159.34429937263,140205.83479445043,140849.828125,6640,0.0,0.0,159
2025-05-15,141279.15688766472,141653.57161439882,140645.147950395,140919.71875,5969,0.0,0.0,159
2025-05-16,141543.73696496364,142237.6522274801,139781.49172993976,140046.078125,9730,0.0,0.0,159
2025-05-19,139192.41279233116,140435.46963134164,139192.41279233116,139926.265625,6621,0.0,0.0,159
2025-05-20,139881.3278910261,140929.68902083035,139267.28780071216,140021.109375,8983,0.0,0.0,159
2025-05-21,140580.25512176266,142277.60195206804,140280.72332817936,142062.9375,7110,0.0,0.0,159
2025-05-22,142177.74228107766,142916.58729012258,141279.1469998068,142122.828125,5201,0.0,0.0,159
2025-05-23,142027.98190405965,143730.32080842817,141608.63742321814,143445.765625,5635,0.0,0.0,159
2025-05-26,143775.25319693095,147204.89204923273,143480.7136157289,146396.15625,15301,0.0,0.0,159
2025-05-27,146396.14506556673,146565.8797265123,143395.835323558,143760.265625,9952,0.0,0.0,159
2025-05-28,144574.01145078265,144574.01145078265,141334.07590411283,142562.15625,14908,0.0,0.0,159
2025-05-29,142876.65221026578,144204.57637126965,139796.4672202681,140685.078125,14872,0.0,0.0,159
2025-05-30,141468.85648944118,141623.61457226894,136950.91891011506,138648.265625,13777,0.0,0.0,159
2025-06-02,138183.9958259325,141179.3136545293,136796.16523201598,140530.328125,13350,0.0,0.0,159
2025-06-03,140540.31735225956,141678.5381662804,137235.48323435689,137864.5,12154,0.0,0.0,159
2025-06-04,138553.40287370046,138783.043881562,135588.03855479226,135892.5625,10461,0.0,0.0,159
2025-06-05,136586.49365916217,140680.09471181247,136321.9072496616,140140.9375,15753,0.0,0.0,159
2025-06-06,140480.40834632335,140480.40834632335,137969.333527624,139312.234375,6901,0.0,0.0,159
2025-06-09,139322.21258883798,141114.41103800642,137994.28838973268,138378.6875,6140,0.0,0.0,159
2025-06-10,139182.42451033733,139182.42451033733,136341.8649857182,137634.84375,9402,0.0,0.0,159
2025-06-11,137784.61129273818,139232.34815052417,136286.95247433885,136666.359375,5607,0.0,0.0,159
2025-06-12,137215.5096681728,137554.9790219324,135288.52186594933,136172.140625,8399,0.0,0.0,159
2025-06-13,135583.0361616226,137784.5943540183,134789.2770854527,137405.1875,5875,0.0,0.0,159
2025-06-16,136586.47765250286,137230.47091336444,135687.882404789,135932.5,4147,0.0,0.0,159
2025-06-17,136087.2655390539,136816.12616886687,135792.72596947194,136137.1875,2551,0.0,0.0,159
2025-06-18,135887.5749818775,138283.82905944184,135887.5749818775,137734.6875,4151,0.0,0.0,159
