Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-11,345.5550853348537,351.49279837610294,341.6615069085455,349.351318359375,2046609,0.0,0.0,171
2025-04-15,357.2358587160018,358.20925342639964,351.68749698447454,356.21380615234375,1484895,0.0,0.0,171
2025-04-16,360.15600508997403,369.4032538693112,356.5057753086567,368.23516845703125,3321597,0.0,0.0,171
2025-04-17,369.889981906188,376.411738206267,367.1644886586123,374.17291259765625,2432713,0.0,0.0,171
2025-04-21,375.8277297708137,387.8978190782928,371.2041045747738,385.3183288574219,2997217,0.0,0.0,171
2025-04-22,385.3183038579577,395.9769581633777,381.27872173200444,393.25146484375,2872315,0.0,0.0,171
2025-04-23,394.2248486516421,401.81731533600697,388.57917134333474,396.025634765625,2391063,0.0,0.0,171
2025-04-24,393.2514796211788,395.7823119163065,386.63240719298346,391.88873291015625,2916837,0.0,0.0,171
2025-04-25,390.2339085138248,393.78679303854864,378.7478635475717,388.72515869140625,2820294,0.0,0.0,171
2025-04-28,387.1677349011804,395.9282870422504,383.0308075012306,394.370849609375,1727973,0.0,0.0,171
2025-04-29,394.8089121691303,401.8660240284819,390.8179877971946,393.68951416015625,3607844,0.0,0.0,171
2025-04-30,393.68949423206607,402.9854016388181,387.21639577938754,399.8218688964844,3621149,0.0,0.0,171
2025-05-02,397.145025864005,405.41888056950506,394.4195326668053,395.10089111328125,1654410,0.0,0.0,171
2025-05-05,389.357888593946,394.95490824248395,378.3585401234268,393.83551025390625,3367921,0.0,0.0,171
2025-05-06,395.14956962450526,397.5830562468864,384.97758366069326,387.6544189453125,2022615,0.0,0.0,171
2025-05-07,379.62392833121095,397.7777333218173,378.6505336431822,396.025634765625,2358373,0.0,0.0,171
2025-05-08,395.39295209573527,403.9588138567018,383.3228336521236,388.2384948730469,1905734,0.0,0.0,171
2025-05-09,379.62390129526807,393.2514259571495,378.65050667656226,392.5700378417969,1994556,0.0,0.0,171
2025-05-12,398.605104126164,410.96722790684106,398.1670646569534,405.3702087402344,3053060,0.0,0.0,171
2025-05-13,405.41889027917983,407.07367314217066,395.73360118616927,396.60968017578125,1331889,0.0,0.0,171
2025-05-14,401.0386004916474,414.17942842037854,399.6758539068344,407.70635986328125,3578800,0.0,0.0,171
2025-05-15,407.7550200836832,412.7193388267381,402.011997489252,411.2592468261719,2371184,0.0,0.0,171
2025-05-16,411.2592626322365,417.44032494665555,409.55582189944033,412.62200927734375,2335245,0.0,0.0,171
2025-05-19,414.7147959179742,418.5110589746439,410.2858619593908,411.6972961425781,1823984,0.0,0.0,171
2025-05-20,414.13075556026064,422.45326773123253,409.7991375918177,412.0379333496094,2609402,0.0,0.0,171
2025-05-21,415.63952937243556,417.2456246572181,409.84781913006856,415.15283203125,1356827,0.0,0.0,171
2025-05-22,411.25927828098975,411.25927828098975,393.34882097863994,407.2196960449219,7564155,0.0,0.0,171
2025-05-23,406.8789927730766,418.99776891376894,405.3215552806622,414.61749267578125,2120628,0.0,0.0,171
2025-05-26,416.66158723022636,420.99320550438057,415.15283733553366,416.3209228515625,1189416,0.0,0.0,171
2025-05-27,416.36956460903326,421.090534637489,414.22808448097675,419.8251037597656,1061214,0.0,0.0,171
2025-05-28,423.2806859088207,424.1567351866652,417.1482815526124,418.7057189941406,2023901,0.0,0.0,171
2025-05-29,422.45327736463315,436.3241511029881,418.70570202752714,432.4305725097656,3572959,0.0,0.0,171
2025-05-30,435.1074399683898,435.1074399683898,413.01136793561005,415.4448547363281,5966660,0.0,0.0,171
2025-06-02,416.6129171627154,417.4889664212271,408.04705598181584,412.3299865722656,1873611,0.0,0.0,171
2025-06-03,416.5155923621468,417.9270265803255,405.7595926499891,407.0249938964844,1876719,0.0,0.0,171
2025-06-04,406.39228874655333,414.08210096374154,403.27741381282317,413.6927490234375,1609449,0.0,0.0,171
2025-06-05,414.17943082730443,418.26770031114916,407.65767467584925,411.2592468261719,2710704,0.0,0.0,171
2025-06-06,411.2105898123384,415.34751715569934,408.9717642501896,413.1573791503906,1215059,0.0,0.0,171
2025-06-09,414.61747366816587,423.42668359401193,413.2060395072599,422.6479797363281,2340904,0.0,0.0,171
2025-06-10,424.88679858670264,429.4617656885673,422.20996308587,425.7628479003906,1507371,0.0,0.0,171
2025-06-11,432.91725428692297,455.5486790472849,430.77577425529694,452.9205017089844,18723840,0.0,0.0,171
2025-06-12,462.36250392831954,475.9900303598911,453.21259926539443,455.8894348144531,16610618,0.0,0.0,171
2025-06-13,467.2294446624804,473.0698127207614,460.65903059691425,465.039306640625,18996179,0.0,0.0,171
2025-06-16,472.04777851725896,478.42350201278924,465.769370728626,468.0568542480469,10245316,0.0,0.0,171
2025-06-17,470.05229320924104,471.561072812881,460.12368512388355,465.47735595703125,5655322,0.0,0.0,171
2025-06-18,469.17624617994187,473.02116713359305,452.92054278065945,457.1548156738281,4484962,0.0,0.0,171
2025-06-19,458.274194409032,461.9244243869257,450.92507660246514,457.3494873046875,3497665,0.0,0.0,171
2025-06-20,459.44229725880723,459.44229725880723,448.88095884891044,452.53118896484375,3531943,0.0,0.0,171
