Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-21,2506.594229401806,2597.4707532566126,2482.127472979358,2589.78125,674424,0.0,0.0,194
2025-04-22,2595.4732072668376,2677.2619730271194,2554.528843473863,2650.49853515625,819177,0.0,0.0,194
2025-04-23,2658.8872941656145,2698.7330569375376,2635.1195392624695,2669.373046875,778544,0.0,0.0,194
2025-04-24,2674.2659900333447,2675.0649531945696,2628.6280537317803,2651.896484375,295553,0.0,0.0,194
2025-04-25,2651.8965962589828,2662.382348192976,2548.936401173847,2570.4072265625,575595,0.0,0.0,194
2025-04-28,2568.509943904851,2646.4041023903014,2561.8190841814303,2638.714599609375,516369,0.0,0.0,194
2025-04-29,2662.3822998701407,2804.688930677153,2652.096227969241,2793.703857421875,1460140,0.0,0.0,194
2025-04-30,2799.1966141387284,2930.4182201818194,2782.5193231017697,2894.6669921875,1162175,0.0,0.0,194
2025-05-02,2875.093463635951,2919.533081257278,2853.6226371447483,2896.2646484375,264153,0.0,0.0,194
2025-05-05,2909.047089205012,2993.632103421404,2890.072872008,2987.54052734375,344570,0.0,0.0,194
2025-05-06,2990.9359298141408,3002.9196463943645,2891.6709083316905,2907.848876953125,346855,0.0,0.0,194
2025-05-07,2866.105574502961,2970.8631336918943,2866.105574502961,2950.990234375,217410,0.0,0.0,194
2025-05-08,2954.984566086991,2991.9343562002787,2856.0189496382136,2877.689697265625,241912,0.0,0.0,194
2025-05-09,2831.1529838067245,2874.593955515928,2799.196406917195,2856.418701171875,514168,0.0,0.0,194
2025-05-12,2900.65856616791,2967.2680057550656,2891.3711374713234,2957.880615234375,183895,0.0,0.0,194
2025-05-13,2957.880716814904,3034.1771912059353,2957.880716814904,2989.937255859375,363732,0.0,0.0,194
2025-05-14,2990.935926622527,3059.243013533176,2941.003774258211,3034.876220703125,265821,0.0,0.0,194
2025-05-15,3060.8409705928075,3060.8409705928075,2888.0757216816965,2906.2509765625,459226,0.0,0.0,194
2025-05-16,2908.0485830686725,3070.8274014203876,2908.0485830686725,3040.46875,551545,0.0,0.0,194
2025-05-19,3072.8246025569483,3250.5830618533855,3067.6317075640877,3122.157470703125,1142682,0.0,0.0,194
2025-05-20,3138.934894106213,3148.721645095146,2977.254676266519,2995.429931640625,404514,0.0,0.0,194
2025-05-21,3020.8952774354525,3044.163709656576,2967.7675150371338,2998.62548828125,278887,0.0,0.0,194
2025-05-22,3009.4106522903776,3038.770658691432,2962.374469907555,2980.849365234375,257572,0.0,0.0,194
2025-05-23,2994.431262171273,3049.8559528667893,2978.2532931085047,3042.665771484375,195407,0.0,0.0,194
2025-05-26,3045.86119722259,3074.7218828463115,3010.9086916806914,3052.95166015625,225242,0.0,0.0,194
2025-05-27,3053.3510929828376,3055.348379061649,2998.026366123498,3040.069091796875,189565,0.0,0.0,194
2025-05-28,3035.974893383173,3055.3484714094748,3003.019672086715,3012.107177734375,205496,0.0,0.0,194
2025-05-29,3022.792632513416,3065.7342848281924,3010.9088774198085,3050.754638671875,130102,0.0,0.0,194
2025-05-30,3066.433534527071,3086.705793974211,3026.8871710926537,3057.945068359375,324556,0.0,0.0,194
2025-06-02,3015.901959285074,3065.035147740699,2996.9277416604327,3051.553466796875,126933,0.0,0.0,194
2025-06-03,3063.7369860707418,3088.8030247262705,3017.8993665447106,3029.18408203125,100558,0.0,0.0,194
2025-06-04,3006.9143980942117,3089.002812807381,3006.9143980942117,3073.823486328125,299108,0.0,0.0,194
2025-06-05,3085.6073104224824,3114.767638397132,3071.126986358116,3081.213134765625,88946,0.0,0.0,194
2025-06-06,3094.794958014499,3094.794958014499,3023.891298118071,3062.83837890625,289522,0.0,0.0,194
2025-06-09,3065.834237870197,3084.708494449308,3017.200368917317,3035.4755859375,231198,0.0,0.0,194
2025-06-10,3050.854566501585,3090.8002891399037,3035.4755608095693,3084.5087890625,300188,0.0,0.0,194
2025-06-11,3095.693394382195,3115.666254744826,3015.901914757218,3023.49169921875,187736,0.0,0.0,194
2025-06-12,3039.8694530494095,3047.7586356436404,2957.4814011845683,2974.15869140625,219763,0.0,0.0,194
