ticker,company_name,sector,industry,market_cap,country,exchange,yahoo_ticker,stock_id,is_active
ABB.NS,ABB India Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,ABB.NS,1,True
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,Power,Large Cap,India,NSE,ADANIENSOL.NS,2,True
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,ADANIENT.NS,3,True
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Power,Large Cap,India,NSE,ADANIGREEN.NS,4,True
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Services,Large Cap,India,NSE,ADANIPORTS.NS,5,True
ADANIPOWER.NS,Adani Power Ltd.,Power,Power,Large Cap,India,NSE,ADANIPOWER.NS,6,True
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Large Cap,India,NSE,AMBUJACEM.NS,7,True
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,APOLLOHOSP.NS,8,True
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,Consumer Durables,Large Cap,India,NSE,ASIANPAINT.NS,9,True
DMART.NS,Avenue Supermarts Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,DMART.NS,10,True
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,AXISBANK.NS,11,True
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,BAJAJ-AUTO.NS,12,True
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,BAJFINANCE.NS,13,True
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,BAJAJFINSV.NS,14,True
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,BAJAJHLDNG.NS,15,True
BANKBARODA.NS,Bank of Baroda,Financial Services,Financial Services,Large Cap,India,NSE,BANKBARODA.NS,16,True
BEL.NS,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,BEL.NS,17,True
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,BPCL.NS,18,True
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,Telecommunication,Large Cap,India,NSE,BHARTIARTL.NS,19,True
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,BOSCHLTD.NS,20,True
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,BRITANNIA.NS,21,True
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,CGPOWER.NS,22,True
